City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,saint-augustin,51.226,-58.6502,-6.1,73,99,4.89,CA,1676832230
157,bengkulu,-3.8004,102.2655,23.75,90,95,1.57,ID,1676832231
158,cidreira,-30.1811,-50.2056,23.14,49,5,6.04,BR,1676832231
159,conceicao do araguaia,-8.2578,-49.2647,26.95,74,100,2.28,BR,1676832232
160,namibe,-15.1961,12.1522,21.38,69,100,5.06,AO,1676832232
161,saskylakh,71.9167,114.0833,-18.86,96,25,3.82,RU,1676832233
162,susuman,62.7833,148.1667,-38.96,100,98,0.32,RU,1676832233
163,hilo,19.7297,-155.09,21.25,97,100,1.54,US,1676832128
164,atuona,-9.8,-139.0333,25.91,80,78,5.53,PF,1676832234
165,ouesso,1.6136,16.0517,27.39,27,100,1.32,CG,1676832234
166,narsaq,60.9167,-46.05,-5.88,85,88,0.66,GL,1676832234
167,kiruna,67.8557,20.2251,-7.49,93,100,0.51,SE,1676832235
168,chuy,-33.6971,-53.4616,22.27,34,85,5.3,UY,1676832235
169,rock sound,24.9,-76.2,24.35,69,48,5.73,BS,1676832236
170,basavana bagevadi,16.5833,75.9667,24.72,32,0,2.74,IN,1676832236
171,batagay,67.6333,134.6333,-42.48,100,48,1.41,RU,1676832237
172,eidfjord,60.4675,7.0719,0.1,95,100,2.01,NO,1676832237
173,sitio novo do tocantins,-5.5183,-47.4611,30.96,70,75,5.14,BR,1676832238
174,cabo san lucas,22.8909,-109.9124,24.78,53,0,8.75,MX,1676832238
175,west plains,36.7281,-91.8524,15.37,49,0,4.12,US,1676832239
176,aksu,41.1231,80.2644,1.13,52,100,0.68,CN,1676832239
177,batemans bay,-35.7167,150.1833,19.5,94,5,1.58,AU,1676832240
178,roald,62.5833,6.1333,2.96,69,40,7.72,NO,1676832240
179,luanda,-8.8368,13.2343,28.0,69,40,3.6,AO,1676832240
180,brae,60.3964,-1.353,9.24,93,100,15.69,GB,1676832241
181,marsa matruh,31.3525,27.2453,16.11,63,40,3.6,EG,1676832241
182,marsabit,2.3284,37.9899,22.14,25,46,3.7,KE,1676832242
183,bodden town,19.2833,-81.25,29.0,70,20,7.72,KY,1676832243
184,palmer,42.1584,-72.3287,8.25,42,75,4.63,US,1676832243
185,sampit,-2.5333,112.95,23.67,96,100,1.47,ID,1676832244
186,kodinsk,58.6881,99.1844,-18.6,100,100,1.56,RU,1676832245
187,nelson bay,-32.7167,152.15,22.78,91,17,2.68,AU,1676832246
188,thompson,55.7435,-97.8558,-29.91,63,0,4.12,CA,1676832247
189,sitka,57.0531,-135.33,3.94,87,100,2.57,US,1676832248
190,puerto madryn,-42.7692,-65.0385,24.67,26,98,7.53,AR,1676832248
